Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Purpose,Loan_Status
Female,Yes,0,Graduate,No,4377,258,151,300,1,Urban,Home Renovation,Y
Male,Yes,3+,Not Graduate,No,198,543,130,180,1,Rural,Debt Consolidation,Y
Male,No,2,Graduate,No,3409,531,126,300,1,Rural,Debt Consolidation,Y
Male,No,1,Graduate,No,6605,14,117,120,1,Rural,Home Purchase,Y
Male,Yes,3+,Graduate,No,1365,1378,74,180,0,Semiurban,Other,Y
Female,Yes,2,Graduate,No,415,5411,206,480,1,Rural,Education,Y
Female,No,0,Graduate,No,8379,851,229,180,1,Rural,Car,Y
Female,Yes,1,Graduate,No,686,2453,154,120,1,Urban,Other,Y
Male,Yes,0,Not Graduate,No,2647,3342,90,120,1,Rural,Business,Y
Male,Yes,1,Graduate,No,454,1544,103,360,1,Semiurban,Education,Y
Female,Yes,0,Not Graduate,No,6323,2101,54,360,1,Urban,Car,Y
Male,Yes,0,Graduate,Yes,1896,4940,34,360,1,Urban,Business,Y
Male,No,0,Not Graduate,No,1997,1456,100,360,1,Semiurban,Business,Y
Female,No,0,Graduate,No,66,5871,213,360,1,Semiurban,Car,Y
Female,Yes,2,Graduate,No,4023,5962,117,480,0,Rural,Education,Y
Male,Yes,0,Graduate,No,6474,2545,131,360,1,Urban,Business,Y
Male,Yes,0,Graduate,No,1497,76,296,300,1,Semiurban,Education,Y
Male,Yes,3+,Graduate,No,134,4577,87,360,1,Semiurban,Debt Consolidation,Y
Male,Yes,0,Graduate,No,2701,4924,257,300,0,Semiurban,Other,Y
Male,Yes,2,Not Graduate,No,85,2613,138,240,1,Urban,Home Purchase,Y
Male,Yes,2,Not Graduate,No,4199,1058,207,360,1,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,3826,1038,153,360,1,Urban,Car,Y
Male,Yes,1,Graduate,Yes,2150,4502,71,360,1,Semiurban,Other,Y
Male,Yes,1,Not Graduate,No,5180,431,199,360,1,Urban,Car,Y
Female,Yes,0,Graduate,No,11188,3009,136,240,1,Rural,Wedding,Y
Female,Yes,0,Graduate,Yes,7089,615,110,480,1,Semiurban,Medical,Y
Male,No,1,Graduate,No,12796,810,159,300,1,Rural,Business,Y
Female,Yes,2,Graduate,No,2502,2964,142,240,0,Semiurban,Car,Y
Male,Yes,1,Graduate,Yes,3512,951,147,360,1,Semiurban,Home Renovation,Y
Male,Yes,0,Not Graduate,No,1152,773,141,360,1,Rural,Home Purchase,Y
Male,No,2,Graduate,No,4882,2410,97,360,1,Semiurban,Education,Y
Female,Yes,1,Not Graduate,No,8011,1632,198,300,1,Semiurban,Home Purchase,Y
Male,Yes,2,Graduate,No,1812,271,158,240,1,Semiurban,Home Renovation,Y
Male,No,0,Graduate,No,2454,1800,130,360,1,Rural,Other,Y
Female,Yes,0,Graduate,No,1974,1024,156,180,0,Urban,Home Renovation,Y
Female,No,1,Graduate,Yes,4979,3626,145,300,0,Urban,Business,Y
Female,Yes,0,Not Graduate,No,4762,780,112,360,0,Semiurban,Education,Y
Female,No,1,Graduate,Yes,10089,3889,105,240,1,Urban,Wedding,Y
Female,Yes,3+,Not Graduate,No,4320,429,90,360,1,Semiurban,Medical,Y
Female,Yes,2,Graduate,Yes,18778,189,128,360,1,Semiurban,Home Renovation,Y
Female,Yes,2,Graduate,No,3904,550,174,120,0,Rural,Education,N
Male,Yes,1,Graduate,No,2891,1682,186,360,1,Rural,Car,Y
Female,Yes,1,Graduate,Yes,4412,4620,165,360,0,Semiurban,Business,Y
Male,No,0,Graduate,No,7603,2827,134,300,1,Urban,Education,Y
Male,Yes,3+,Graduate,No,7388,2055,164,180,1,Rural,Debt Consolidation,Y
Male,No,1,Graduate,No,3733,5649,106,360,1,Semiurban,Home Renovation,Y
Female,Yes,2,Not Graduate,No,3998,1393,109,480,1,Rural,Home Purchase,Y
Male,Yes,1,Graduate,No,2647,608,261,360,1,Semiurban,Wedding,Y
Female,Yes,0,Graduate,No,1436,713,217,360,1,Urban,Education,Y
Male,Yes,1,Graduate,No,1017,1698,142,360,1,Semiurban,Education,Y
Female,Yes,1,Not Graduate,No,2095,2361,184,360,1,Semiurban,Other,Y
Male,Yes,0,Graduate,No,174,13087,210,300,1,Urban,Education,Y
Male,Yes,3+,Not Graduate,No,7477,530,128,360,0,Urban,Business,Y
Female,No,0,Graduate,No,1602,1057,193,360,1,Urban,Debt Consolidation,Y
Female,Yes,1,Graduate,No,7571,1594,154,300,0,Rural,Wedding,Y
Male,Yes,0,Graduate,No,7244,4851,134,360,1,Urban,Home Purchase,Y
Male,Yes,2,Not Graduate,No,2102,328,188,360,1,Urban,Debt Consolidation,Y
Male,Yes,0,Graduate,No,2018,2390,198,480,1,Urban,Medical,Y
Female,No,2,Graduate,No,3725,718,106,360,0,Rural,Home Purchase,N
Male,Yes,2,Graduate,Yes,1540,3496,109,360,0,Urban,Wedding,Y
Male,Yes,1,Not Graduate,No,409,772,111,360,1,Rural,Home Purchase,Y
Female,No,2,Graduate,No,9404,151,119,480,1,Urban,Home Renovation,N
Male,Yes,2,Not Graduate,No,30314,781,105,120,0,Rural,Home Purchase,Y
Male,No,2,Graduate,No,2999,1426,216,300,1,Rural,Home Renovation,Y
Male,No,2,Graduate,No,10594,368,103,180,1,Semiurban,Business,Y
Female,Yes,3+,Graduate,No,9255,1316,184,360,1,Semiurban,Business,N
Male,Yes,0,Graduate,Yes,203,4149,22,360,1,Semiurban,Education,Y
Female,Yes,3+,Graduate,No,5496,1082,97,360,1,Semiurban,Home Purchase,Y
Female,Yes,2,Not Graduate,No,1492,3855,134,300,1,Rural,Car,Y
Male,Yes,1,Graduate,Yes,12316,3287,59,240,1,Rural,Education,Y
Female,No,0,Graduate,No,13697,7020,180,300,1,Urban,Home Renovation,Y
Female,Yes,0,Graduate,No,17016,4281,56,300,1,Rural,Home Renovation,Y
Female,Yes,1,Graduate,No,967,1499,142,360,1,Urban,Medical,Y
Male,Yes,1,Graduate,No,5903,433,94,240,1,Urban,Wedding,Y
Male,Yes,3+,Graduate,No,1660,1925,54,360,1,Rural,Debt Consolidation,Y
Female,Yes,0,Graduate,No,301,328,135,360,1,Urban,Car,Y
Male,Yes,1,Graduate,No,3494,1259,140,120,1,Semiurban,Debt Consolidation,N
Female,Yes,0,Graduate,No,6781,913,140,180,0,Urban,Home Renovation,Y
Female,Yes,2,Graduate,No,3656,449,258,360,1,Urban,Other,Y
Female,No,0,Graduate,Yes,4725,882,183,360,1,Semiurban,Other,Y
Male,No,0,Graduate,No,100,4806,141,360,1,Urban,Home Renovation,Y
Male,No,0,Not Graduate,Yes,4214,240,82,180,0,Rural,Business,N
Male,Yes,1,Not Graduate,No,3309,469,138,360,1,Rural,Home Purchase,Y
Male,No,1,Graduate,No,1928,1827,219,360,1,Urban,Business,Y
Male,No,1,Not Graduate,No,8858,831,187,300,1,Urban,Home Purchase,Y
Female,No,2,Graduate,No,6196,447,217,360,1,Urban,Car,Y
Male,No,0,Graduate,No,7957,4689,288,240,1,Urban,Education,N
Male,Yes,1,Graduate,Yes,5820,97,183,300,1,Semiurban,Wedding,Y
Male,Yes,0,Graduate,No,2501,2089,175,360,1,Rural,Home Purchase,Y
Female,Yes,1,Graduate,No,7926,672,210,180,1,Semiurban,Home Renovation,Y
Male,No,0,Not Graduate,No,7899,80,185,240,1,Semiurban,Debt Consolidation,N
Female,Yes,0,Graduate,Yes,7321,2850,139,360,1,Rural,Car,Y
Male,Yes,0,Graduate,Yes,10183,1029,127,360,1,Rural,Business,Y
Male,No,2,Graduate,No,3863,1684,130,360,1,Semiurban,Education,N
Male,Yes,1,Graduate,No,1655,308,34,300,1,Urban,Debt Consolidation,Y
Male,Yes,0,Graduate,No,12141,925,153,120,0,Semiurban,Debt Consolidation,Y
Male,Yes,0,Graduate,No,211,284,215,480,1,Semiurban,Business,Y
Male,No,2,Graduate,No,6316,2828,151,300,1,Semiurban,Car,Y
Female,No,2,Graduate,Yes,5739,1656,132,360,1,Urban,Other,Y
Male,Yes,1,Graduate,No,18744,83,172,240,1,Rural,Home Renovation,Y
Female,Yes,0,Graduate,No,16448,290,166,240,1,Urban,Home Purchase,Y
Male,No,0,Graduate,Yes,7519,1544,249,360,0,Urban,Home Renovation,Y
Male,No,3+,Not Graduate,No,7136,1556,197,360,1,Urban,Debt Consolidation,Y
Male,Yes,1,Not Graduate,No,770,2086,159,300,1,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,5043,1393,144,120,1,Urban,Home Renovation,Y
Male,Yes,1,Graduate,No,2138,123,212,360,1,Urban,Business,Y
Male,Yes,0,Not Graduate,No,10189,276,111,360,1,Urban,Education,Y
Female,Yes,1,Not Graduate,No,6148,3209,120,360,1,Urban,Business,N
Female,No,0,Graduate,Yes,3834,1170,163,180,1,Rural,Debt Consolidation,Y
Male,Yes,1,Graduate,No,15468,853,118,300,1,Semiurban,Education,Y
Male,Yes,1,Graduate,No,7185,792,140,480,1,Rural,Education,Y
Male,Yes,1,Not Graduate,Yes,4155,3110,125,240,1,Rural,Other,Y
Female,Yes,2,Graduate,No,2240,3333,144,300,1,Rural,Medical,Y
Male,No,0,Graduate,No,1529,406,83,360,1,Semiurban,Business,N
Female,Yes,2,Graduate,No,5489,4834,83,120,1,Urban,Home Renovation,Y
Male,Yes,2,Graduate,No,2690,760,79,360,1,Semiurban,Home Renovation,Y
Male,Yes,1,Graduate,No,12867,3292,174,300,1,Urban,Car,Y
Male,Yes,1,Not Graduate,No,49,2503,176,180,0,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,478,2404,138,360,1,Semiurban,Education,Y
Female,Yes,0,Graduate,No,10920,1492,120,360,0,Semiurban,Debt Consolidation,Y
Female,Yes,1,Not Graduate,Yes,869,1284,125,360,1,Semiurban,Education,Y
Female,Yes,0,Graduate,No,1851,1252,70,360,1,Rural,Home Renovation,Y
Male,No,2,Graduate,No,1486,2021,222,300,1,Urban,Education,Y
Male,No,1,Graduate,No,1084,558,140,180,1,Urban,Car,Y
Female,Yes,3+,Graduate,No,3556,650,138,360,1,Rural,Car,N
Female,Yes,1,Graduate,No,8178,6002,184,360,1,Urban,Home Renovation,Y
Female,Yes,1,Not Graduate,No,252,444,101,240,1,Rural,Home Renovation,Y
Female,No,0,Graduate,No,8346,1795,207,480,1,Urban,Education,Y
Male,No,1,Graduate,No,6353,360,134,360,0,Urban,Other,Y
Male,Yes,2,Graduate,No,7498,1031,80,360,1,Urban,Home Renovation,Y
Female,No,0,Graduate,No,1189,740,132,360,1,Semiurban,Other,Y
Male,Yes,1,Not Graduate,Yes,9289,107,201,240,1,Urban,Wedding,Y
Male,Yes,0,Graduate,No,7924,18,106,360,1,Urban,Home Purchase,Y
Female,Yes,2,Not Graduate,No,3507,2952,274,180,1,Rural,Home Renovation,Y
Male,No,3+,Graduate,Yes,996,105,89,360,1,Urban,Business,Y
Male,Yes,0,Graduate,No,23912,3958,133,360,1,Rural,Debt Consolidation,Y
Male,Yes,1,Graduate,No,1488,311,159,180,1,Rural,Education,Y
Male,Yes,1,Not Graduate,No,561,1420,68,180,1,Semiurban,Education,Y
Male,No,0,Graduate,No,11218,3308,66,240,0,Semiurban,Car,Y
Male,No,0,Graduate,No,1042,1487,162,360,0,Semiurban,Education,Y
Female,Yes,0,Graduate,No,5903,2473,120,360,1,Rural,Home Purchase,Y
Male,Yes,3+,Graduate,No,13783,2160,185,360,1,Urban,Debt Consolidation,Y
Male,Yes,1,Not Graduate,No,1290,2115,24,180,1,Urban,Other,Y
Male,Yes,0,Graduate,No,850,1851,133,240,1,Rural,Education,Y
Male,Yes,0,Graduate,Yes,14818,2072,124,480,1,Semiurban,Car,Y
Male,Yes,2,Graduate,No,2130,826,108,300,1,Urban,Home Purchase,Y
Male,No,0,Not Graduate,No,16999,798,182,120,1,Semiurban,Home Purchase,Y
Female,Yes,1,Graduate,No,45,566,204,240,1,Semiurban,Other,Y
Male,Yes,0,Not Graduate,No,9283,1508,192,300,1,Rural,Education,Y
Female,No,0,Graduate,Yes,3498,2199,111,300,1,Urban,Wedding,Y
Female,Yes,0,Graduate,No,9771,146,169,300,0,Rural,Education,Y
Female,No,0,Not Graduate,No,4918,1365,152,360,1,Urban,Car,Y
Male,Yes,3+,Not Graduate,No,424,3606,132,240,1,Rural,Education,Y
Female,Yes,1,Graduate,No,1680,1910,156,360,0,Urban,Wedding,Y
Female,No,0,Not Graduate,No,2326,651,145,360,1,Urban,Home Purchase,Y
Female,No,1,Not Graduate,Yes,7066,1062,153,360,1,Semiurban,Car,Y
Male,Yes,1,Graduate,No,3215,2456,220,480,1,Urban,Business,N
Male,Yes,2,Graduate,Yes,2365,215,154,300,1,Urban,Education,N
Female,No,3+,Not Graduate,No,9967,3040,128,360,1,Urban,Other,Y
Male,Yes,1,Graduate,No,1349,1571,169,120,1,Semiurban,Home Purchase,Y
Female,Yes,2,Graduate,No,2084,549,86,360,0,Semiurban,Business,Y
Male,Yes,2,Graduate,No,289,329,146,360,0,Urban,Home Renovation,Y
Male,Yes,0,Graduate,No,3346,617,190,300,0,Semiurban,Medical,Y
Female,No,2,Not Graduate,No,3038,149,167,360,0,Semiurban,Home Purchase,Y
Male,Yes,2,Not Graduate,No,12342,1229,209,360,1,Semiurban,Education,Y
Male,Yes,3+,Graduate,Yes,1350,173,78,300,1,Semiurban,Business,Y
Male,Yes,2,Graduate,No,16883,99,135,180,1,Urban,Education,Y
Female,Yes,2,Graduate,Yes,2094,2690,130,300,1,Rural,Business,Y
Female,Yes,0,Graduate,No,3222,180,134,300,1,Semiurban,Home Purchase,Y
Male,Yes,1,Not Graduate,No,524,1551,222,120,1,Urban,Home Purchase,Y
Female,Yes,0,Not Graduate,No,5532,424,116,300,1,Semiurban,Education,Y
Male,Yes,2,Graduate,No,5638,578,130,300,1,Rural,Medical,Y
Male,No,0,Graduate,No,6882,279,112,360,1,Urban,Debt Consolidation,Y
Female,Yes,0,Graduate,No,546,1575,243,360,1,Semiurban,Home Purchase,Y
Female,Yes,1,Graduate,No,35,519,179,360,1,Semiurban,Home Purchase,N
Male,No,1,Graduate,No,13308,190,234,120,1,Urban,Medical,Y
Male,Yes,3+,Graduate,No,6321,80,143,360,1,Rural,Medical,Y
Male,No,1,Graduate,Yes,2826,5482,36,300,1,Rural,Education,Y
Female,Yes,1,Graduate,No,1043,187,140,240,1,Semiurban,Home Purchase,N
Male,Yes,3+,Graduate,No,6686,4723,159,240,0,Rural,Home Renovation,N
Female,Yes,2,Graduate,No,4612,2844,148,300,1,Urban,Wedding,N
Male,No,0,Graduate,No,13505,1033,116,360,1,Urban,Home Purchase,Y
Female,No,3+,Graduate,No,14179,3246,139,300,1,Semiurban,Debt Consolidation,Y
Female,Yes,1,Graduate,No,3941,1617,150,360,1,Rural,Other,Y
Female,Yes,1,Graduate,No,1851,2700,156,180,0,Urban,Car,Y
Male,Yes,2,Graduate,Yes,3148,1867,225,300,1,Rural,Home Purchase,Y
Female,Yes,1,Graduate,No,3855,151,211,240,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,12017,1235,80,480,1,Urban,Home Renovation,Y
Male,Yes,3+,Graduate,No,2955,1948,173,240,1,Urban,Debt Consolidation,Y
Female,Yes,0,Not Graduate,No,11875,4671,133,360,1,Urban,Home Purchase,N
Male,Yes,1,Not Graduate,No,7498,1461,187,300,1,Semiurban,Home Renovation,Y
Male,No,0,Not Graduate,Yes,4622,134,69,240,1,Urban,Home Renovation,Y
Female,Yes,1,Not Graduate,No,9597,5801,213,120,0,Urban,Car,Y
Male,Yes,0,Graduate,No,3571,108,122,240,0,Rural,Debt Consolidation,Y
Female,Yes,1,Graduate,No,319,461,198,180,1,Rural,Education,Y
Female,Yes,0,Graduate,No,200,6060,285,360,1,Rural,Home Purchase,Y
Male,Yes,1,Graduate,No,12222,767,176,300,1,Rural,Education,Y
Female,Yes,0,Graduate,No,3320,848,157,360,1,Semiurban,Wedding,Y
Male,Yes,3+,Graduate,Yes,4533,2980,156,180,1,Semiurban,Education,Y
Male,Yes,0,Graduate,No,11475,1336,76,240,1,Semiurban,Home Renovation,Y
Female,No,0,Graduate,No,4841,1324,81,360,1,Urban,Debt Consolidation,Y
Male,Yes,1,Graduate,No,2746,161,153,300,1,Rural,Business,Y
Male,Yes,1,Graduate,Yes,1620,1347,131,360,1,Semiurban,Home Purchase,N
Female,Yes,0,Graduate,No,2388,537,170,360,1,Urban,Home Purchase,Y
Female,Yes,2,Not Graduate,Yes,9050,977,145,240,1,Rural,Debt Consolidation,Y
Female,Yes,0,Graduate,Yes,2431,1475,204,300,1,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,Yes,1636,1720,216,360,1,Rural,Car,Y
Male,No,0,Graduate,No,4621,1056,143,300,1,Rural,Home Purchase,Y
Male,Yes,0,Not Graduate,No,3641,690,118,480,1,Urban,Business,N
Male,Yes,0,Graduate,No,8847,471,112,180,1,Semiurban,Home Purchase,Y
Male,No,2,Graduate,Yes,5883,2066,219,240,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,6183,1682,138,360,1,Rural,Debt Consolidation,Y
Male,No,2,Graduate,No,5123,3126,203,360,1,Semiurban,Wedding,Y
Male,Yes,1,Not Graduate,Yes,9554,670,62,360,1,Urban,Education,Y
Female,Yes,1,Not Graduate,No,11295,4389,158,180,1,Urban,Home Renovation,Y
Male,No,2,Not Graduate,No,2803,881,62,360,1,Rural,Business,Y
Female,Yes,1,Graduate,No,3593,1389,115,360,1,Semiurban,Car,Y
Male,Yes,1,Graduate,No,2030,279,172,240,1,Semiurban,Home Purchase,Y
Male,Yes,2,Graduate,No,1728,698,67,180,0,Semiurban,Business,Y
Female,Yes,0,Graduate,Yes,1597,868,158,360,1,Urban,Education,N
Male,Yes,0,Graduate,No,4157,952,136,300,1,Rural,Education,Y
Female,Yes,3+,Graduate,No,1935,1435,62,240,1,Urban,Business,Y
Male,Yes,0,Graduate,No,2783,1272,93,360,1,Rural,Wedding,Y
Female,Yes,0,Graduate,No,778,2369,122,360,1,Semiurban,Business,Y
Male,No,1,Graduate,No,10338,4803,194,360,0,Rural,Car,N
Male,Yes,3+,Not Graduate,No,1585,495,197,360,1,Semiurban,Home Purchase,Y
Male,Yes,1,Graduate,No,17980,3853,113,360,1,Rural,Home Purchase,Y
Male,Yes,1,Graduate,No,17261,528,169,360,1,Urban,Business,N
Male,No,0,Graduate,No,27182,1252,78,360,1,Urban,Home Purchase,Y
Male,No,0,Graduate,No,6595,1289,198,360,1,Urban,Home Renovation,Y
Female,Yes,1,Graduate,No,3040,2151,157,360,1,Rural,Home Purchase,Y
Female,No,0,Graduate,No,5882,5212,82,300,1,Urban,Car,Y
Female,Yes,1,Not Graduate,No,1694,76,117,240,1,Rural,Car,Y
Female,Yes,0,Not Graduate,No,5211,162,187,300,1,Rural,Home Renovation,Y
Female,No,2,Not Graduate,No,282,169,167,360,1,Urban,Home Renovation,Y
Male,Yes,1,Not Graduate,No,15866,455,182,180,1,Rural,Home Renovation,Y
Male,Yes,1,Graduate,No,4712,3090,122,480,0,Semiurban,Business,Y
Male,No,1,Graduate,No,2464,915,209,360,1,Rural,Home Renovation,N
Male,Yes,0,Graduate,No,4801,2501,141,300,1,Rural,Home Purchase,Y
Male,Yes,1,Graduate,No,3216,6764,147,300,1,Semiurban,Home Purchase,Y
Male,Yes,2,Graduate,No,8481,1497,62,360,1,Rural,Debt Consolidation,Y
Female,Yes,2,Graduate,Yes,3510,1510,204,300,1,Rural,Business,Y
Male,No,1,Graduate,No,646,213,66,240,1,Rural,Home Purchase,Y
Male,Yes,0,Graduate,No,5623,4004,142,360,0,Urban,Debt Consolidation,Y
Female,Yes,1,Not Graduate,No,7247,3053,111,300,1,Semiurban,Home Purchase,Y
Male,Yes,0,Not Graduate,No,5413,2103,82,360,1,Semiurban,Business,N
Female,Yes,0,Graduate,No,5221,1668,176,480,1,Urban,Home Purchase,Y
Female,No,1,Graduate,No,1100,1441,204,180,1,Urban,Wedding,Y
Male,Yes,1,Graduate,No,1494,1140,149,360,1,Rural,Home Renovation,Y
Male,No,0,Graduate,No,7114,32,95,360,1,Rural,Wedding,N
Female,No,0,Graduate,No,2413,1194,187,300,1,Urban,Home Renovation,Y
Male,Yes,1,Graduate,No,641,537,127,300,1,Rural,Home Renovation,Y
Male,No,2,Graduate,No,5910,249,175,240,0,Semiurban,Debt Consolidation,Y
Female,Yes,1,Graduate,No,20222,631,106,300,1,Urban,Debt Consolidation,Y
Female,Yes,0,Not Graduate,No,4295,2704,80,240,1,Rural,Education,Y
Male,No,0,Graduate,No,912,6516,119,360,1,Semiurban,Home Renovation,N
Male,Yes,1,Not Graduate,No,6087,4742,198,300,1,Urban,Home Purchase,Y
Female,Yes,0,Graduate,No,3749,609,233,360,0,Rural,Home Renovation,Y
Male,No,1,Graduate,No,4815,4479,198,300,1,Urban,Home Purchase,Y
Female,Yes,0,Not Graduate,No,1016,2720,117,240,1,Urban,Home Purchase,N
Female,Yes,3+,Graduate,Yes,84,178,75,480,1,Semiurban,Debt Consolidation,Y
Male,No,0,Graduate,Yes,1790,66,152,180,1,Rural,Education,Y
Male,Yes,0,Not Graduate,No,1393,928,151,360,0,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,7274,436,235,360,1,Urban,Business,Y
Male,No,1,Not Graduate,No,1172,1046,99,240,1,Semiurban,Home Renovation,Y
Female,No,1,Graduate,No,12927,241,99,360,0,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,12662,225,208,240,1,Urban,Education,Y
Male,Yes,2,Graduate,No,1655,2229,185,360,1,Semiurban,Business,Y
Male,Yes,0,Graduate,No,331,1448,75,360,1,Semiurban,Other,Y
Male,Yes,2,Graduate,No,2644,383,101,360,1,Semiurban,Home Purchase,N
Male,No,1,Graduate,No,439,379,20,360,0,Semiurban,Education,N
Male,No,1,Graduate,No,1093,1213,214,180,1,Semiurban,Education,Y
Female,Yes,2,Graduate,No,552,2959,118,240,0,Rural,Other,Y
Male,No,3+,Graduate,No,4712,17,125,300,1,Rural,Wedding,Y
Female,No,3+,Graduate,No,20884,1342,132,300,1,Urban,Car,Y
Male,No,0,Graduate,No,2610,39,137,360,1,Semiurban,Medical,Y
Male,Yes,0,Graduate,No,11149,2032,105,300,1,Rural,Car,Y
Female,Yes,3+,Graduate,Yes,16670,206,205,300,1,Urban,Home Purchase,Y
Female,Yes,2,Graduate,No,16577,36,141,360,1,Semiurban,Business,N
Male,No,1,Not Graduate,No,4478,271,202,240,0,Semiurban,Car,Y
Female,No,2,Graduate,No,19323,5046,178,300,1,Semiurban,Car,Y
Male,No,1,Graduate,No,695,1082,156,480,1,Rural,Home Renovation,Y
Male,Yes,0,Graduate,No,18961,1225,104,240,1,Semiurban,Wedding,Y
Female,Yes,1,Graduate,No,604,7901,78,180,0,Rural,Other,Y
Male,Yes,3+,Graduate,No,5251,5052,141,360,1,Semiurban,Home Renovation,Y
Female,Yes,0,Graduate,No,231,458,182,360,1,Semiurban,Home Renovation,Y
Female,Yes,2,Graduate,No,1295,934,121,300,1,Urban,Education,Y
Female,No,1,Not Graduate,No,3619,1215,29,360,1,Rural,Education,Y
Male,Yes,1,Graduate,No,4084,3751,101,360,1,Urban,Debt Consolidation,Y
Female,Yes,0,Not Graduate,No,485,1379,212,360,1,Rural,Home Renovation,Y
Female,No,0,Graduate,No,6131,3405,150,360,1,Urban,Home Purchase,Y
Male,No,0,Graduate,No,880,3480,118,180,1,Rural,Home Purchase,Y
Female,Yes,3+,Graduate,Yes,3386,20,198,240,1,Semiurban,Business,N
Male,Yes,1,Not Graduate,Yes,3165,100,167,360,1,Urban,Home Purchase,N
Male,No,0,Graduate,No,3240,943,94,240,1,Semiurban,Home Purchase,Y
Female,Yes,1,Not Graduate,No,5802,1048,156,300,0,Semiurban,Other,Y
Female,No,0,Not Graduate,Yes,8930,1688,99,180,0,Semiurban,Home Purchase,N
Male,Yes,3+,Graduate,No,12197,3241,189,360,1,Semiurban,Home Renovation,Y
Male,Yes,1,Graduate,No,4966,812,125,300,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,6680,544,245,300,1,Urban,Debt Consolidation,Y
Female,Yes,2,Graduate,Yes,3168,204,254,360,1,Semiurban,Home Purchase,Y
Male,No,2,Graduate,No,13137,3054,74,300,1,Urban,Debt Consolidation,Y
Male,Yes,0,Graduate,No,2599,878,84,360,1,Rural,Home Renovation,N
Male,Yes,2,Graduate,Yes,255,2761,197,120,1,Semiurban,Medical,Y
Female,Yes,2,Graduate,No,2879,14280,129,300,1,Semiurban,Car,Y
Male,Yes,0,Graduate,No,4252,2824,142,180,1,Rural,Wedding,Y
Female,Yes,1,Graduate,Yes,8303,6875,172,240,1,Rural,Home Purchase,Y
Male,Yes,1,Graduate,Yes,6960,44,148,480,1,Urban,Wedding,Y
Male,Yes,3+,Not Graduate,No,18333,1090,133,360,1,Urban,Medical,Y
Male,Yes,1,Not Graduate,No,1325,1286,142,480,1,Urban,Home Purchase,Y
Male,Yes,2,Graduate,No,718,2566,127,360,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,203,1481,144,300,1,Urban,Business,Y
Female,Yes,0,Graduate,No,5332,5419,65,300,0,Semiurban,Education,N
Male,Yes,0,Graduate,No,12794,4028,77,360,1,Urban,Other,Y
Male,No,0,Graduate,No,366,480,141,360,1,Rural,Home Renovation,Y
Male,No,2,Graduate,Yes,187,3159,201,360,1,Rural,Education,Y
Female,No,0,Graduate,No,4183,1122,171,300,1,Urban,Other,Y
Male,Yes,1,Not Graduate,No,2352,677,223,360,1,Urban,Home Purchase,Y
Female,No,2,Graduate,No,4299,2470,170,240,1,Rural,Car,Y
Male,Yes,0,Graduate,Yes,634,42,161,300,1,Rural,Education,Y
Male,Yes,1,Graduate,No,8754,2690,161,240,0,Semiurban,Business,Y
Male,Yes,3+,Graduate,No,4954,5756,281,240,1,Semiurban,Other,Y
Female,Yes,2,Graduate,No,792,2794,107,360,0,Semiurban,Car,Y
Male,Yes,0,Graduate,No,10483,4383,192,300,1,Rural,Wedding,Y
Male,Yes,0,Not Graduate,No,3615,2823,228,240,1,Urban,Business,Y
Male,No,0,Graduate,No,6281,1742,98,120,1,Urban,Business,Y
Male,Yes,1,Graduate,No,13460,1272,81,360,1,Urban,Education,Y
Female,Yes,2,Graduate,Yes,5884,10429,188,360,1,Rural,Home Purchase,N
Male,No,1,Not Graduate,No,52,1169,158,180,1,Rural,Home Purchase,Y
Male,Yes,2,Graduate,No,1943,1583,160,360,1,Urban,Home Renovation,Y
Male,Yes,0,Graduate,No,698,1812,139,180,1,Urban,Wedding,Y
Female,Yes,0,Graduate,No,2647,772,120,240,1,Semiurban,Car,Y
Male,Yes,2,Graduate,No,10124,6842,282,360,1,Rural,Business,Y
Male,Yes,0,Graduate,No,1142,2915,155,240,1,Rural,Business,Y
Male,Yes,0,Graduate,No,20357,1030,136,360,1,Semiurban,Home Purchase,Y
Female,No,1,Graduate,No,4789,14,116,360,1,Rural,Home Purchase,Y
Female,Yes,2,Graduate,No,11916,3697,105,300,1,Urban,Home Purchase,Y
Female,Yes,3+,Graduate,No,4211,501,173,360,1,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,671,1604,156,300,1,Rural,Business,N
Male,No,0,Graduate,No,3935,131,218,240,1,Semiurban,Education,N
Female,Yes,0,Graduate,No,2796,2578,28,240,0,Urban,Home Purchase,Y
Male,No,2,Graduate,No,14322,1762,193,360,1,Urban,Home Renovation,Y
Female,Yes,2,Graduate,Yes,6034,1574,168,300,1,Rural,Debt Consolidation,Y
